Date,strike,best_bid,best_offer,implied_volatility,delta,gamma,vega
2019-02-16,77.5,0.31,0.39,0.2377,-0.1702,0.0677,0.0419
2019-02-16,79.0,2.5,2.58,0.219,0.7203,0.097,0.0533
2019-02-16,79.0,0.61,0.68,0.2244,-0.2848,0.0962,0.0532
2019-02-16,81.0,1.2,1.3,0.2035,0.499,0.1238,0.0631
2019-02-16,81.0,1.32,1.43,0.2109,-0.5028,0.1209,0.0632
2019-02-16,82.5,0.58,0.66,0.1963,0.3151,0.1143,0.0562
2019-02-16,82.5,2.22,2.34,0.2103,-0.6769,0.1103,0.0579
2019-02-16,84.0,0.25,0.33,0.1989,0.1743,0.0817,0.0407
2019-02-16,84.0,3.2,3.55,0.1981,-0.8346,0.084,0.0406
2019-02-16,86.5,0.05,0.08,0.2033,0.0492,0.0316,0.0161
2019-02-16,86.5,5.45,6.0,0.2345,-0.9328,0.0405,0.0213
2019-02-16,89.0,0.01,0.03,0.2033,0.0089,0.0075,0.0038
2019-02-16,89.0,7.9,8.35,0.2345,-0.9941,0.0139,0.0035
2019-02-16,93.0,0.0,0.03,0.2033,0.0003,0.0003,0.0002
2019-02-16,93.0,11.85,12.45,0.2345,-1.0,0.0,0.0
2019-02-16,70.0,10.75,11.15,0.314,0.9577,0.0128,0.0202
2019-02-16,70.0,0.11,0.14,0.314,-0.0423,0.0128,0.0202
2019-02-16,72.5,8.35,8.75,0.2186,0.9688,0.0144,0.0157
2019-02-16,72.5,0.22,0.25,0.2903,-0.0775,0.0224,0.0328
2019-02-16,75.0,6.25,6.6,0.2649,0.8616,0.0373,0.0494
2019-02-16,75.0,0.41,0.45,0.2645,-0.1382,0.0375,0.0499
2019-02-16,77.5,4.2,4.4,0.241,0.757,0.058,0.07
2019-02-16,77.5,0.8,0.85,0.2438,-0.2462,0.0582,0.0697
2019-02-16,80.0,2.46,2.59,0.2236,0.5921,0.0776,0.0869
2019-02-16,80.0,1.51,1.6,0.2264,-0.4113,0.0777,0.0873
2019-02-16,82.5,1.21,1.33,0.2137,0.3899,0.0803,0.0858
2019-02-16,82.5,2.73,2.87,0.216,-0.6141,0.0811,0.0852
2019-02-16,85.0,0.45,0.53,0.2006,0.2006,0.0625,0.0627
2019-02-16,85.0,4.5,4.7,0.2141,-0.7926,0.0634,0.0637
2019-02-16,87.5,0.16,0.21,0.2034,0.0898,0.0356,0.0363
2019-02-16,87.5,6.65,6.85,0.2077,-0.9216,0.0389,0.0338
2019-02-16,90.0,0.06,0.09,0.2134,0.0398,0.018,0.0192
2019-02-16,90.0,9.0,9.35,0.2268,-0.969,0.0227,0.0174
2019-02-16,92.5,0.02,0.05,0.2134,0.0133,0.0072,0.0076
2019-02-16,92.5,11.4,11.95,0.2268,-1.0,0.0015,0.0
2019-02-23,70.0,9.15,10.45,0.3188,0.9857,0.0073,0.0057
2019-02-23,70.0,0.02,0.12,0.2956,-0.0092,0.0054,0.0039
2019-02-23,72.0,6.7,8.6,0.3188,0.959,0.0176,0.0138
2019-02-23,72.0,0.05,0.15,0.2956,-0.0307,0.015,0.0109
2019-02-23,74.0,6.1,6.55,0.3188,0.9032,0.0343,0.0269
