+------------+--------+----------+------------+--------------------+---------+--------+--------+
| Date       | strike | best_bid | best_offer | implied_volatility | delta   | gamma  | vega   |
| 2019-03-09 | 85.00  | 0.00     | 0.02       | 0.1911             | 0.0006  | 0.0010 | 0.0002 |
| 2019-03-09 | 85.00  | 6.80     | 7.30       | 0.2088             | -1.0000 | 0.0000 | 0.0000 |
| 2019-03-09 | 90.00  | 0.00     | 0.01       | 0.1911             | 0.0000  | 0.0000 | 0.0000 |
| 2019-03-09 | 90.00  | 11.60    | 12.60      | 0.2088             | -1.0000 | 0.0000 | 0.0000 |
| 2019-03-16 | 70.00  | 10.70    | 11.45      | 0.3605             | 0.0000  | 0.0000 | 0.0000 |
| 2019-03-16 | 70.00  | 0.00     | 0.01       | 0.2595             | 0.0000  | 0.0000 | 0.0000 |
| 2019-03-16 | 72.50  | 8.15     | 8.90       | 0.3605             | 0.0000  | 0.0000 | 0.0000 |
| 2019-03-16 | 72.50  | 0.01     | 0.02       | 0.2595             | 0.0000  | 0.0000 | 0.0000 |
| 2019-03-16 | 75.00  | 6.00     | 6.40       | 0.2279             | 0.0000  | 0.0000 | 0.0000 |
| 2019-03-16 | 75.00  | 0.00     | 0.01       | 0.2386             | 0.0000  | 0.0000 | 0.0000 |
| 2019-03-16 | 77.50  | 3.50     | 3.90       | 0.2098             | 0.0000  | 0.0000 | 0.0000 |
| 2019-03-16 | 77.50  | 0.00     | 0.01       | 0.2127             | 0.0000  | 0.0000 | 0.0000 |
| 2019-03-16 | 80.00  | 1.02     | 1.15       | 0.1889             | 0.0000  | 0.0000 | 0.0000 |
| 2019-03-16 | 80.00  | 0.00     | 0.04       | 0.1921             | 0.0000  | 0.0000 | 0.0000 |
| 2019-03-16 | 82.50  | 0.00     | 0.01       | 0.1757             | 0.0000  | 0.0000 | 0.0000 |
| 2019-03-16 | 82.50  | 1.01     | 2.04       | 0.1856             | 0.0000  | 0.0000 | 0.0000 |
| 2019-03-16 | 85.00  | 0.00     | 0.01       | 0.1639             | 0.0000  | 0.0000 | 0.0000 |
| 2019-03-16 | 85.00  | 2.19     | 4.10       | 0.1726             | 0.0000  | 0.0000 | 0.0000 |
| 2019-03-16 | 87.50  | 0.00     | 0.04       | 0.1639             | 0.0000  | 0.0000 | 0.0000 |
| 2019-03-16 | 87.50  | 6.05     | 7.60       | 0.1726             | 0.0000  | 0.0000 | 0.0000 |
| 2019-03-16 | 90.00  | 0.00     | 0.01       | 0.1639             | 0.0000  | 0.0000 | 0.0000 |
| 2019-03-16 | 90.00  | 8.65     | 9.30       | 0.1726             | 0.0000  | 0.0000 | 0.0000 |
| 2019-03-16 | 95.00  | 0.00     | 0.04       | 0.1639             | 0.0000  | 0.0000 | 0.0000 |
| 2019-03-16 | 95.00  | 13.45    | 14.35      | 0.1726             | 0.0000  | 0.0000 | 0.0000 |
+------------+--------+----------+------------+--------------------+---------+--------+--------+

