Date,strike,best_bid,best_offer,implied_volatility,delta,gamma,vega
2019-02-09,78.5,4.9,7.4,0.261,0.8613,0.047,0.0523
2019-02-09,78.5,0.65,0.9,0.3,-0.1932,0.0396,0.0661
2019-02-09,81.0,4.1,4.6,0.2763,0.7057,0.0575,0.0798
2019-02-09,81.0,1.1,1.55,0.282,-0.3041,0.0538,0.0814
2019-02-09,82.5,3.1,3.5,0.2646,0.6179,0.0639,0.088
2019-02-09,82.5,1.55,1.95,0.2665,-0.3867,0.0624,0.0886
2019-02-09,84.5,1.95,2.35,0.2536,0.4855,0.0683,0.0931
2019-02-09,84.5,2.35,2.85,0.255,-0.5178,0.0684,0.0929
2019-02-09,85.5,1.5,2.05,0.2586,0.4211,0.0654,0.0913
2019-02-09,85.5,2.9,3.3,0.2461,-0.5885,0.0694,0.091
2019-02-09,87.5,0.75,1.0,0.2292,0.2749,0.0628,0.078
2019-02-09,87.5,4.0,5.9,0.3071,-0.6699,0.0519,0.0858
2019-02-09,90.0,0.3,0.45,0.2248,0.1439,0.0434,0.0527
2019-02-09,90.0,5.5,6.7,0.1582,-0.9567,0.0322,0.0233
2019-02-09,92.5,0.0,0.3,0.2248,0.0664,0.0247,0.03
2019-02-09,92.5,6.5,10.8,0.1582,-0.9954,0.0055,0.004
2019-02-09,95.0,0.0,0.5,0.2248,0.0267,0.0118,0.0143
2019-02-09,95.0,9.3,12.5,0.1582,-0.9999,0.0002,0.0002
2019-02-09,79.5,6.0,6.4,0.2809,0.7293,0.0385,0.1005
2019-02-09,79.5,1.35,1.7,0.2814,-0.2726,0.0388,0.1009
2019-02-09,81.0,4.8,5.3,0.2663,0.6725,0.0443,0.1116
2019-02-09,81.0,1.75,2.1,0.2714,-0.3322,0.044,0.1118
2019-02-09,82.5,3.9,4.3,0.2619,0.603,0.0481,0.1192
2019-02-09,82.5,2.25,2.6,0.2626,-0.4003,0.0486,0.1192
2019-02-09,84.5,2.75,3.1,0.2499,0.5029,0.0522,0.1229
2019-02-09,84.5,3.1,3.5,0.2545,-0.5011,0.052,0.1227
2019-02-09,86.0,2.05,2.35,0.2429,0.4234,0.0527,0.1213
2019-02-09,86.0,3.8,4.3,0.2452,-0.5818,0.0533,0.1206
2019-02-09,87.5,1.45,1.9,0.243,0.3492,0.0497,0.1149
2019-02-09,87.5,4.8,5.4,0.2517,-0.6523,0.0495,0.1136
2019-02-09,90.0,0.65,1.1,0.2279,0.2246,0.0429,0.0912
2019-02-09,90.0,6.4,7.1,0.2309,-0.785,0.0446,0.0889
2019-02-09,92.5,0.35,0.5,0.2199,0.13,0.0313,0.065
2019-02-09,92.5,7.7,10.6,0.2702,-0.829,0.0336,0.0801
2019-02-09,93.5,0.25,0.4,0.2201,0.1041,0.0267,0.0555
2019-02-09,93.5,8.3,11.6,0.2606,-0.8685,0.0304,0.0661
2019-02-16,73.5,11.7,14.8,0.1445,1.0,0.0,0.0
2019-02-16,73.5,0.0,0.15,0.2745,-0.0009,0.0007,0.0005
2019-02-16,78.0,6.7,10.7,0.1445,0.9999,0.0001,0.0001
2019-02-16,78.0,0.0,0.2,0.2745,-0.0225,0.0115,0.0091
2019-02-16,80.5,4.3,8.2,0.1445,0.996,0.0048,0.002
2019-02-16,80.5,0.1,0.3,0.2745,-0.0783,0.0314,0.0248
2019-02-16,83.0,3.0,4.4,0.2573,0.8162,0.0609,0.0451
2019-02-16,83.0,0.35,0.55,0.2573,-0.1841,0.0612,0.0454
2019-02-16,85.0,2.45,2.8,0.2397,0.6759,0.0884,0.061
2019-02-16,85.0,0.75,0.95,0.2337,-0.3214,0.091,0.0602
2019-02-16,87.0,1.2,1.55,0.2212,0.4815,0.1062,0.0676
2019-02-16,87.0,1.5,1.8,0.223,-0.5207,0.1066,0.0678
2019-02-16,88.5,0.55,0.8,0.2016,0.3127,0.1035,0.0601
2019-02-16,88.5,2.3,2.85,0.2236,-0.6726,0.0971,0.0621
2019-02-16,90.0,0.2,0.45,0.1993,0.1775,0.0769,0.0441
2019-02-16,90.0,2.4,4.2,0.1122,-0.9803,0.0627,0.0109
2019-02-16,92.5,0.0,0.15,0.1993,0.0519,0.0314,0.018
2019-02-16,92.5,3.9,7.7,0.1122,-1.0,0.0,0.0
2019-02-16,95.0,0.0,0.35,0.1993,0.0104,0.0082,0.0047
2019-02-16,95.0,6.7,8.7,0.1122,-1.0,0.0,0.0
2019-02-16,72.5,13.2,16.2,0.3547,0.9704,0.0079,0.0162
2019-02-16,72.5,0.0,0.15,0.3023,-0.014,0.0049,0.0086
2019-02-16,77.5,9.3,10.3,0.3547,0.8862,0.0226,0.0462
2019-02-16,77.5,0.2,0.35,0.3023,-0.0805,0.0207,0.0369
2019-02-16,80.0,7.1,7.6,0.2903,0.8553,0.0327,0.0546
2019-02-16,80.0,0.4,0.6,0.2833,-0.1393,0.0328,0.0541
2019-02-16,82.5,5.0,5.4,0.2639,0.7693,0.0481,0.073
